kingdom;phylum;class;order;family;genus
SAR; Ochrophyta; Chrysophyceae; Chrysophyceae X; Chrysophyceae Clade-D; Chrysophyceae Clade-D X
Bacteria (superkingdom); Cyanobacteria; Vampirivibrionia; Obscuribacterales; Obscuribacteraceae; Candidatus Obscuribacter
SAR; Pseudofungi; Oomycota; Saprolegniales; Aquastella family incertae sedis; Aquastella
Bacteria (superkingdom); Verrucomicrobiota; Chlamydiae; Chlamydiales; Parachlamydiaceae; Neochlamydia
Bacteria (superkingdom); Proteobacteria; Gammaproteobacteria; Candidatus Ovatusbacter order incertae sedis; Candidatus Ovatusbacter family incertae sedis; Candidatus Ovatusbacter
Bacteria (superkingdom); Acidobacteriota; Acidobacteriae; Acidobacteriales; Acidobacteriaceae (Subgroup 1); Terriglobus
Bacteria (superkingdom); Proteobacteria; Gammaproteobacteria; Burkholderiales; Comamonadaceae; Sphaerotilus
SAR; Cercozoa; Filosa-Imbricatea; Spongomonadida; Spongomonadidae; Spongomonadidae X
Bacteria (superkingdom); Bacteroidota; Bacteroidia; Sphingobacteriales; Sphingobacteriaceae; Mucilaginibacter
SAR; Ciliophora; CONThreeP; CONThreeP X; Urotrichidae; Urotricha
Bacteria (superkingdom); Actinobacteriota; Actinobacteria; Frankiales; Nakamurellaceae; Nakamurella
Bacteria (superkingdom); Bacteroidota; Bacteroidia; Cytophagales; Spirosomaceae; Flectobacillus
Bacteria (superkingdom); Bacteroidota; Bacteroidia; Chitinophagales; Chitinophagaceae; Puia
Bacteria (superkingdom); Verrucomicrobiota; Verrucomicrobiae; Opitutales; Opitutaceae; Cephaloticoccus
SAR; Ciliophora; Phyllopharyngea; Suctoria X; Suctoria XX; Suctoria XX sp.
Bacteria (superkingdom); Proteobacteria; Gammaproteobacteria; Legionellales; Legionellaceae; Legionella
Bacteria (superkingdom); Bacteroidota; Bacteroidia; Sphingobacteriales; Sphingobacteriaceae; Pedobacter
Bacteria (superkingdom); Proteobacteria; Alphaproteobacteria; Rickettsiales; Rickettsiaceae; Rickettsia
Bacteria (superkingdom); Proteobacteria; Alphaproteobacteria; Azospirillales; Inquilinaceae; Inquilinus
Bacteria (superkingdom); Bacteroidota; Bacteroidia; Chitinophagales; Chitinophagaceae; Parasediminibacterium
Bacteria (superkingdom); Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium sensu stricto 9
Bacteria (superkingdom); Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium sensu stricto 12
